source_dataset,source_class,unified_class
fitzpatrick_black,basal_cell_carcinoma_morpheiform,basal_cell_carcinoma_morpheiform
fitzpatrick_black,becker_nevus,becker_nevus
fitzpatrick_black,behcets_disease,behcets_disease
fitzpatrick_black,calcinosis_cutis,calcinosis_cutis
fitzpatrick_black,cheilitis,cheilitis
fitzpatrick_black,congenital_nevus,congenital_nevus
fitzpatrick_black,dariers_disease,dariers_disease
fitzpatrick_black,dermatofibroma,dermatofibroma
fitzpatrick_black,dermatomyositis,dermatomyositis
fitzpatrick_black,disseminated_actinic_porokeratosis,disseminated_actinic_porokeratosis
fitzpatrick_black,drug_eruption,drug_eruption
fitzpatrick_black,drug_induced_pigmentary_changes,drug_induced_pigmentary_changes
fitzpatrick_black,ehlers_danlos_syndrome,ehlers_danlos_syndrome
fitzpatrick_black,epidermal_nevus,epidermal_nevus
fitzpatrick_black,epidermolysis_bullosa,epidermolysis_bullosa
fitzpatrick_black,erythema_annulare_centrifigum,erythema_annulare_centrifigum
fitzpatrick_black,erythema_elevatum_diutinum,erythema_elevatum_diutinum
fitzpatrick_black,erythema_multiforme,erythema_multiforme
fitzpatrick_black,erythema_nodosum,erythema_nodosum
fitzpatrick_black,factitial_dermatitis,factitial_dermatitis
fitzpatrick_black,fixed_eruptions,fixed_eruptions
fitzpatrick_black,folliculitis,folliculitis
fitzpatrick_black,fordyce_spots,fordyce_spots
fitzpatrick_black,granuloma_annulare,granuloma_annulare
fitzpatrick_black,granuloma_pyogenic,granuloma_pyogenic
fitzpatrick_black,hailey_hailey_disease,hailey_hailey_disease
fitzpatrick_black,halo_nevus,halo_nevus
fitzpatrick_black,hidradenitis,hidradenitis
fitzpatrick_black,ichthyosis_vulgaris,ichthyosis_vulgaris
fitzpatrick_black,incontinentia_pigmenti,incontinentia_pigmenti
fitzpatrick_black,juvenile_xanthogranuloma,juvenile_xanthogranuloma
fitzpatrick_black,kaposi_sarcoma,kaposi_sarcoma
fitzpatrick_black,keloid,keloid
fitzpatrick_black,keratosis_pilaris,keratosis_pilaris
fitzpatrick_black,langerhans_cell_histiocytosis,langerhans_cell_histiocytosis
fitzpatrick_black,lentigo_maligna,lentigo_maligna
fitzpatrick_black,lichen_amyloidosis,lichen_amyloidosis
fitzpatrick_black,lichen_planus,lichen_planus
fitzpatrick_black,lichen_simplex,lichen_simplex
fitzpatrick_black,livedo_reticularis,livedo_reticularis
fitzpatrick_black,lupus_erythematosus,lupus_erythematosus
fitzpatrick_black,lupus_subacute,lupus_subacute
fitzpatrick_black,lyme_disease,lyme_disease
fitzpatrick_black,lymphangioma,lymphangioma
fitzpatrick_black,malignant_melanoma,malignant_melanoma
fitzpatrick_black,melanoma,melanoma
fitzpatrick_black,milia,milia
fitzpatrick_black,mucinosis,mucinosis
fitzpatrick_black,mucous_cyst,mucous_cyst
fitzpatrick_black,mycosis_fungoides,mycosis_fungoides
fitzpatrick_black,myiasis,myiasis
fitzpatrick_black,naevus_comedonicus,naevus_comedonicus
fitzpatrick_black,necrobiosis_lipoidica,necrobiosis_lipoidica
fitzpatrick_black,nematode_infection,nematode_infection
fitzpatrick_black,neurodermatitis,neurodermatitis
fitzpatrick_black,neurofibromatosis,neurofibromatosis
fitzpatrick_black,neurotic_excoriations,neurotic_excoriations
fitzpatrick_black,neutrophilic_dermatoses,neutrophilic_dermatoses
fitzpatrick_black,nevocytic_nevus,nevocytic_nevus
fitzpatrick_black,nevus_sebaceous_of_jadassohn,nevus_sebaceous_of_jadassohn
fitzpatrick_black,papilomatosis_confluentes_and_reticulate,papilomatosis_confluentes_and_reticulate
fitzpatrick_black,paronychia,paronychia
fitzpatrick_black,pediculosis_lids,pediculosis_lids
fitzpatrick_black,perioral_dermatitis,perioral_dermatitis
fitzpatrick_black,photodermatoses,photodermatoses
fitzpatrick_black,pilar_cyst,pilar_cyst
fitzpatrick_black,pilomatricoma,pilomatricoma
fitzpatrick_black,pityriasis_lichenoides_chronica,pityriasis_lichenoides_chronica
fitzpatrick_black,pityriasis_rosea,pityriasis_rosea
fitzpatrick_black,pityriasis_rubra_pilaris,pityriasis_rubra_pilaris
fitzpatrick_black,porokeratosis_actinic,porokeratosis_actinic
fitzpatrick_black,porokeratosis_of_mibelli,porokeratosis_of_mibelli
fitzpatrick_black,porphyria,porphyria
fitzpatrick_black,port_wine_stain,port_wine_stain
fitzpatrick_black,prurigo_nodularis,prurigo_nodularis
fitzpatrick_black,psoriasis,psoriasis
fitzpatrick_black,pustular_psoriasis,pustular_psoriasis
fitzpatrick_black,pyogenic_granuloma,pyogenic_granuloma
fitzpatrick_black,rhinophyma,rhinophyma
fitzpatrick_black,rosacea,rosacea
fitzpatrick_black,sarcoidosis,sarcoidosis
fitzpatrick_black,scabies,scabies
fitzpatrick_black,scleroderma,scleroderma
fitzpatrick_black,scleromyxedema,scleromyxedema
fitzpatrick_black,seborrheic_dermatitis,seborrheic_dermatitis
fitzpatrick_black,seborrheic_keratosis,seborrheic_keratosis
fitzpatrick_black,solid_cystic_basal_cell_carcinoma,solid_cystic_basal_cell_carcinoma
fitzpatrick_black,squamous_cell_carcinoma,squamous_cell_carcinoma
fitzpatrick_black,stasis_edema,stasis_edema
fitzpatrick_black,stevens_johnson_syndrome,stevens_johnson_syndrome
fitzpatrick_black,striae,striae
fitzpatrick_black,sun_damaged_skin,sun_damaged_skin
fitzpatrick_black,superficial_spreading_melanoma_ssm,superficial_spreading_melanoma_ssm
fitzpatrick_black,syringoma,syringoma
fitzpatrick_black,telangiectases,telangiectases
fitzpatrick_black,tick_bite,tick_bite
fitzpatrick_black,tuberous_sclerosis,tuberous_sclerosis
fitzpatrick_black,tungiasis,tungiasis
fitzpatrick_black,urticaria,urticaria
fitzpatrick_black,urticaria_pigmentosa,urticaria_pigmentosa
fitzpatrick_black,vitiligo,vitiligo
fitzpatrick_black,xanthomas,xanthomas
fitzpatrick_black,xeroderma_pigmentosum,xeroderma_pigmentosum
